State,turnout rate,
Minnesota,74.16,in %
New Hampshire,70.31,in %
Maine,69.92,in %
Iowa,68.56,in %
Wisconsin,68.33,in %
Colorado,67.86,in %
Oregon,66.85,in %
Florida,65.61,in %
Virginia,65.5,in %
Massachusetts,65.35,in %
Vermont,64.66,in %
Michigan,64.59,in %
North Carolina,64.57,in %
Ohio,64.55,in %
Delaware,63.86,in %
Montana,63.45,in %
Connecticut,62.59,in %
Washington,62.46,in %
Missouri,61.95,in %
Nebraska,61.69,in %
Maryland,61.4,in %
Pennsylvania,61.26,in %
Alaska,60.64,in %
Illinois,60.11,in %
Wyoming,60.09,in %
Georgia,60,in %
Louisiana,59.86,in %
Idaho,59.68,in %
Kentucky,59.51,in %
New Jersey,59.25,in %
North Dakota,59.22,in %
Rhode Island,58.77,in %
South Dakota,58.69,in %
Alabama,58.65,in %
United States,58.1,in %
Nevada,57.09,in %
South Carolina,56.85,in %
Arizona,56.35,in %
Indiana,56.18,in %
District of Columbia,55.73,in %
Kansas,55.67,in %
New Mexico,54.8,in %
California,53.8,in %
Mississippi,53.51,in %
Arkansas,52.46,in %
New York,52.4,in %
Oklahoma,52.11,in %
Texas,51.1,in %
Tennessee,51.02,in %
West Virginia,50.97,in %
Utah,46.4,in %
Hawaii,42.52,in %
